Date : 2022-10-26 16:13:40
Directory : c:\Drive\Dev\CPP\opengl\OpenGL\src
Total : 222 files,  -54006 codes, -7806 comments, -8792 blanks, all -70604 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\files_8.html                       | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\files_8.js                         | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\functions_0.html                   | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\functions_0.js                     | JavaScript |       -146 |          0 |         -1 |       -147 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_0.html                      | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_0.js                        | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_1.html                      | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_1.js                        | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_2.html                      | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_2.js                        | JavaScript |         -5 |          0 |         -1 |         -6 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_3.html                      | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_3.js                        | JavaScript |         -5 |          0 |         -1 |         -6 |
